timestamp,vibration,current,temperature,failure_in_72_hours
2024-01-01 11:09:54,1.358,13.08,48.1,0
2024-01-01 16:41:59,1.005,13.16,53.7,0
2024-01-01 22:03:44,0.61,8.44,48.9,0
2024-01-02 00:55:57,0.904,8.79,68.8,0
2024-01-02 03:22:59,1.28,9.71,54.3,0
2024-01-02 08:20:13,0.295,11.18,55.1,0
2024-01-02 13:08:21,1.742,10.76,75.5,0
2024-01-02 18:55:20,5.232,21.9,95.9,1
2024-01-02 22:22:23,1.361,13.18,69.6,0
2024-01-03 03:43:26,0.799,9.96,74.3,0
2024-01-03 08:46:18,0.136,8.63,58.8,0
2024-01-03 13:57:09,0.996,9.89,60.4,0
2024-01-03 16:21:37,1.55,13.89,66.2,0
2024-01-03 18:16:23,1.59,8.35,51.4,0
2024-01-03 23:41:17,1.792,9.75,69.3,0
2024-01-04 02:51:23,0.456,9.58,74.4,0
2024-01-04 08:48:04,1.459,9.62,56.9,0
2024-01-04 11:02:45,2.032,10.1,47.5,0
2024-01-04 16:38:36,0.566,14.7,48.9,0
2024-01-04 22:12:37,0.994,13.63,74.4,0
2024-01-05 02:01:03,0.49,8.24,48.1,0
2024-01-05 05:35:22,1.178,12.53,55.5,0
2024-01-05 10:29:32,1.101,12.42,71.3,0
2024-01-05 15:23:06,1.071,11.65,54.5,0
2024-01-05 18:09:01,0.774,8.52,68.6,0
2024-01-05 20:39:38,0.319,9.51,70.7,0
2024-01-06 00:48:28,0.769,12.38,66.8,0
2024-01-06 06:35:17,0.163,9.96,61.6,0
2024-01-06 11:53:05,1.013,10.08,47.1,0
2024-01-06 15:02:13,0.704,14.38,76.0,0
2024-01-06 19:22:25,1.366,9.89,55.1,0
2024-01-06 21:17:08,1.15,12.33,49.0,0
2024-01-06 23:15:42,1.489,10.97,59.6,0
2024-01-07 03:51:26,0.981,12.9,47.1,0
2024-01-07 08:47:01,1.507,14.88,73.9,0
2024-01-07 11:18:42,0.592,12.43,62.3,0
2024-01-07 16:12:37,0.193,10.24,58.0,0
2024-01-07 17:42:05,0.736,10.99,69.7,0
2024-01-07 22:57:57,0.642,10.68,64.9,0
2024-01-08 01:54:21,1.469,9.09,52.9,0
2024-01-08 06:47:51,1.488,9.08,70.3,0
2024-01-08 09:29:23,1.787,15.0,64.9,0
2024-01-08 11:23:05,1.224,14.4,51.5,0
2024-01-08 14:59:56,0.752,11.53,49.3,0
2024-01-08 20:00:43,0.565,10.39,52.4,0
2024-01-08 22:36:51,0.252,9.39,71.6,0
2024-01-09 03:28:23,0.455,10.41,74.1,0
2024-01-09 04:38:57,1.604,10.86,63.1,0
2024-01-09 09:28:07,1.943,9.58,46.5,0
2024-01-09 11:31:07,1.385,13.99,63.0,0
2024-01-09 17:13:55,0.88,14.06,59.6,0
2024-01-09 19:54:23,0.338,13.42,72.8,0
2024-01-10 01:45:48,1.495,9.32,56.3,0
2024-01-10 03:28:21,1.425,14.11,46.2,0
